entity_name,property_name,tenant_name,ledger_type,ledger_group,ledger_category,ledger_code,ledger_description,month,quarter,year,profit
PropCo,,,expenses,general_expenses,bank_charges,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,,,expenses,general_expenses,financial_expenses,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,,,expenses,management_fees,directors_fee,4801,Director's Fee,2025-M02,2025-Q1,2025,-500.0
PropCo,Building 180,,expenses,general_expenses,other_general_expenses,4898,Overige algemene kosten | Other general costs,2024-M12,2024-Q4,2024,-225.0
PropCo,,,expenses,general_expenses,bank_charges,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,,,expenses,general_expenses,financial_expenses,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,Building 17,Tenant 8,revenue,sales_discounts,rent_discount_taxed,8001,Huurkorting belast Rent discount taxed,2025-M01,2025-Q1,2025,-121.29
PropCo,,,expenses,general_expenses,bank_charges,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,,,expenses,general_expenses,financial_expenses,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,Building 17,Tenant 8,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M02,2025-Q1,2025,-0.0
PropCo,,,expenses,management_fees,asset_management_fees,4820,Asset Management Fees,2025-M03,2025-Q1,2025,769.0
PropCo,Building 160,Tenant 15,revenue,sales_discounts,rent_discount_taxed,8001,Huurkorting belast Rent discount taxed,2025-M01,2025-Q1,2025,-205.85
PropCo,,,expenses,management_fees,asset_management_fees,4820,Asset Management Fees,2025-M01,2025-Q1,2025,-1538.0
PropCo,Building 17,Tenant 8,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M01,2025-Q1,2025,568.39
PropCo,Building 160,Tenant 15,revenue,rental_income,proceeds_parking_taxed,8004,Opbrengst Parkeren belast Proceeds Parking Tax,2025-M01,2025-Q1,2025,519.65
PropCo,Building 17,Tenant 10,revenue,sales_discounts,rent_discount_taxed,8001,Huurkorting belast Rent discount taxed,2025-M01,2025-Q1,2025,1000.0
PropCo,,,expenses,general_expenses,other_general_expenses,4898,Overige algemene kosten | Other general costs,2024-M05,2024-Q2,2024,-4.01
PropCo,,,expenses,general_expenses,interest_mortgage,4611,Rente lening AT | Interest loan AT,2024-M12,2024-Q4,2024,-17664.0
PropCo,Building 160,Tenant 15,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M02,2025-Q1,2025,5153.0
PropCo,,,expenses,management_fees,success_fees,4823,Success Fee | Success Fee,2024-M04,2024-Q2,2024,-15000.0
PropCo,,,expenses,general_expenses,other_general_expenses,4898,Overige algemene kosten | Other general costs,2025-M03,2025-Q1,2025,0.01
PropCo,,,expenses,management_fees,success_fees,4823,Success Fee | Success Fee,2024-M10,2024-Q4,2024,-15000.0
PropCo,,Tenant 6,expenses,general_expenses,other_general_expenses,4898,Overige algemene kosten | Other general costs,2025-M03,2025-Q1,2025,0.01
PropCo,,,expenses,management_fees,success_fees,4823,Success Fee | Success Fee,2024-M01,2024-Q1,2024,-15000.0
PropCo,,Tenant 6,expenses,general_expenses,other_general_expenses,4898,Overige algemene kosten | Other general costs,2025-M01,2025-Q1,2025,0.01
PropCo,,Tenant 6,expenses,general_expenses,other_general_expenses,4898,Overige algemene kosten | Other general costs,2025-M01,2025-Q1,2025,0.01
PropCo,,Tenant 6,expenses,general_expenses,other_general_expenses,4898,Overige algemene kosten | Other general costs,2025-M02,2025-Q1,2025,0.01
PropCo,,,expenses,management_fees,success_fees,4823,Success Fee | Success Fee,2024-M11,2024-Q4,2024,-15000.0
PropCo,,,expenses,general_expenses,other_general_expenses,4898,Overige algemene kosten | Other general costs,2025-M01,2025-Q1,2025,-0.02
PropCo,,,expenses,management_fees,success_fees,4823,Success Fee | Success Fee,2024-M02,2024-Q1,2024,-15000.0
PropCo,,,expenses,management_fees,success_fees,4823,Success Fee | Success Fee,2024-M12,2024-Q4,2024,-15000.0
PropCo,,,expenses,general_expenses,legal_advice,4822,Juridische adviezen | Legal advice,2025-M03,2025-Q1,2025,-182.85
PropCo,,,expenses,management_fees,success_fees,4823,Success Fee | Success Fee,2024-M06,2024-Q2,2024,-15000.0
PropCo,,,expenses,management_fees,success_fees,4823,Success Fee | Success Fee,2024-M05,2024-Q2,2024,-15000.0
PropCo,,,expenses,management_fees,success_fees,4823,Success Fee | Success Fee,2024-M07,2024-Q3,2024,-15000.0
PropCo,,,expenses,management_fees,success_fees,4823,Success Fee | Success Fee,2024-M09,2024-Q3,2024,-15000.0
PropCo,,,expenses,management_fees,success_fees,4823,Success Fee | Success Fee,2024-M03,2024-Q1,2024,-15000.0
PropCo,,,expenses,management_fees,success_fees,4823,Success Fee | Success Fee,2024-M08,2024-Q3,2024,-15000.0
PropCo,Building 17,Tenant 10,revenue,sales_discounts,rent_discount_taxed,8001,Huurkorting belast Rent discount taxed,2024-M07,2024-Q3,2024,-0.0
PropCo,Building 17,Tenant 10,revenue,sales_discounts,rent_discount_taxed,8001,Huurkorting belast Rent discount taxed,2025-M01,2025-Q1,2025,-0.0
PropCo,,,expenses,general_expenses,other_general_expenses,4898,Overige algemene kosten | Other general costs,2024-M05,2024-Q2,2024,-0.02
PropCo,,,expenses,management_fees,directors_fee,4801,Director's Fee,2025-M03,2025-Q1,2025,-500.0
PropCo,,,expenses,management_fees,asset_management_fees,4820,Asset Management Fees,2025-M02,2025-Q1,2025,-769.0
PropCo,Building 17,Tenant 10,revenue,sales_discounts,rent_discount_taxed,8001,Huurkorting belast Rent discount taxed,2025-M01,2025-Q1,2025,-0.0
PropCo,,Tenant 4,expenses,general_expenses,other_general_expenses,4898,Overige algemene kosten | Other general costs,2024-M05,2024-Q2,2024,0.1
PropCo,,,expenses,general_expenses,non_reclaimable_vat,4998,Niet verrekenbare BTW | Non reclaimable VAT,2024-M11,2024-Q4,2024,-389.27
PropCo,,,expenses,general_expenses,other_consultancy_costs,4829,Overige advieskosten | Other consultancy costs,2024-M08,2024-Q3,2024,-256.25
PropCo,,,expenses,management_fees,asset_management_fees,4820,Asset Management Fees,2025-M02,2025-Q1,2025,769.0
PropCo,,,expenses,general_expenses,bank_charges,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,,,expenses,general_expenses,financial_expenses,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,,,expenses,general_expenses,interest_mortgage,4611,Rente lening AT | Interest loan AT,2024-M12,2024-Q4,2024,-116587.77
PropCo,,,expenses,general_expenses,bank_charges,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,,,expenses,general_expenses,financial_expenses,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,,,expenses,general_expenses,non_reclaimable_vat,4998,Niet verrekenbare BTW | Non reclaimable VAT,2024-M09,2024-Q3,2024,-1000.32
PropCo,,,expenses,management_fees,asset_management_fees,4820,Asset Management Fees,2025-M01,2025-Q1,2025,-58500.0
PropCo,,,expenses,general_expenses,interest_mortgage,4611,Rente lening AT | Interest loan AT,2024-M12,2024-Q4,2024,77725.18
PropCo,Building 140,,expenses,general_expenses,other_general_expenses,4898,Overige algemene kosten | Other general costs,2024-M12,2024-Q4,2024,-225.0
PropCo,Building 160,Tenant 15,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M01,2025-Q1,2025,-5153.0
PropCo,,,expenses,general_expenses,bank_charges,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,,,expenses,general_expenses,financial_expenses,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,Building 17,Tenant 10,revenue,sales_discounts,rent_discount_taxed,8001,Huurkorting belast Rent discount taxed,2025-M02,2025-Q1,2025,-500.0
PropCo,,,expenses,general_expenses,other_general_expenses,4898,Overige algemene kosten | Other general costs,2024-M05,2024-Q2,2024,-0.02
PropCo,,,expenses,general_expenses,interest_mortgage,4611,Rente lening AT | Interest loan AT,2024-M11,2024-Q4,2024,-5888.0
PropCo,,,expenses,management_fees,asset_management_fees,4820,Asset Management Fees,2025-M01,2025-Q1,2025,-2307.0
PropCo,Building 17,Tenant 8,revenue,rental_income,proceeds_parking_taxed,8004,Opbrengst Parkeren belast Proceeds Parking Tax,2025-M01,2025-Q1,2025,148.48
PropCo,Building 120,,expenses,general_expenses,other_general_expenses,4898,Overige algemene kosten | Other general costs,2024-M12,2024-Q4,2024,-225.0
PropCo,,,expenses,management_fees,asset_management_fees,4820,Asset Management Fees,2025-M03,2025-Q1,2025,-769.0
PropCo,,,expenses,general_expenses,other_consultancy_costs,4829,Overige advieskosten | Other consultancy costs,2024-M09,2024-Q3,2024,512.5
PropCo,,,expenses,general_expenses,bank_charges,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,,,expenses,general_expenses,financial_expenses,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,,,expenses,general_expenses,bank_charges,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,,,expenses,general_expenses,financial_expenses,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,Building 17,Tenant 8,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M01,2025-Q1,2025,-0.0
PropCo,,,expenses,general_expenses,bank_charges,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,,,expenses,general_expenses,financial_expenses,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,Building 160,Tenant 15,revenue,rental_income,proceeds_parking_taxed,8004,Opbrengst Parkeren belast Proceeds Parking Tax,2025-M02,2025-Q1,2025,519.65
PropCo,Building 17,Tenant 8,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M01,2025-Q1,2025,-0.0
PropCo,,,expenses,management_fees,asset_management_fees,4820,Asset Management Fees,2025-M01,2025-Q1,2025,48750.0
PropCo,,,expenses,general_expenses,other_general_expenses,4898,Overige algemene kosten | Other general costs,2024-M04,2024-Q2,2024,-0.55
PropCo,,,expenses,management_fees,asset_management_fees,4820,Asset Management Fees,2025-M01,2025-Q1,2025,2307.0
PropCo,,,expenses,general_expenses,bank_charges,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,,,expenses,general_expenses,financial_expenses,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,Building 17,Tenant 10,revenue,sales_discounts,rent_discount_taxed,8001,Huurkorting belast Rent discount taxed,2024-M08,2024-Q3,2024,-0.0
PropCo,,,expenses,management_fees,directors_fee,4801,Director's Fee,2025-M01,2025-Q1,2025,-1500.0
PropCo,Building 160,Tenant 15,revenue,sales_discounts,rent_discount_taxed,8001,Huurkorting belast Rent discount taxed,2025-M02,2025-Q1,2025,-205.85
PropCo,,,expenses,general_expenses,interest_mortgage,4611,Rente lening AT | Interest loan AT,2024-M10,2024-Q4,2024,-38862.59
PropCo,,,expenses,general_expenses,non_reclaimable_vat,4998,Niet verrekenbare BTW | Non reclaimable VAT,2024-M10,2024-Q4,2024,-389.27
PropCo,,,expenses,general_expenses,bank_charges,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,,,expenses,general_expenses,financial_expenses,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,Building 17,Tenant 10,revenue,sales_discounts,rent_discount_taxed,8001,Huurkorting belast Rent discount taxed,2025-M01,2025-Q1,2025,-1500.0
PropCo,,,expenses,general_expenses,bank_charges,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,,,expenses,general_expenses,financial_expenses,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,Building 17,Tenant 8,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M01,2025-Q1,2025,792.34
PropCo,,,expenses,general_expenses,interest_mortgage,4611,Rente lening AT | Interest loan AT,2024-M11,2024-Q4,2024,-38862.59
PropCo,,,expenses,general_expenses,other_general_expenses,4898,Overige algemene kosten | Other general costs,2024-M04,2024-Q2,2024,-0.02
PropCo,Building 160,Tenant 15,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M01,2025-Q1,2025,5153.0
PropCo,,,expenses,general_expenses,bank_charges,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,,,expenses,general_expenses,financial_expenses,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,,,expenses,general_expenses,bank_charges,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,,,expenses,general_expenses,financial_expenses,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,,,expenses,management_fees,asset_management_fees,4820,Asset Management Fees,2025-M03,2025-Q1,2025,-9750.0
PropCo,,,expenses,management_fees,asset_management_fees,4820,Asset Management Fees,2025-M02,2025-Q1,2025,-9750.0
PropCo,,,expenses,general_expenses,bank_charges,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,,,expenses,general_expenses,financial_expenses,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,,,expenses,general_expenses,interest_mortgage,4611,Rente lening AT | Interest loan AT,2024-M12,2024-Q4,2024,11776.0
PropCo,,,expenses,management_fees,asset_management_fees,4820,Asset Management Fees,2025-M01,2025-Q1,2025,1538.0
PropCo,Building 17,Tenant 10,revenue,sales_discounts,rent_discount_taxed,8001,Huurkorting belast Rent discount taxed,2024-M09,2024-Q3,2024,-0.0
PropCo,,,expenses,general_expenses,other_consultancy_costs,4829,Overige advieskosten | Other consultancy costs,2024-M09,2024-Q3,2024,-768.75
PropCo,Building 17,Tenant 10,revenue,sales_discounts,rent_discount_taxed,8001,Huurkorting belast Rent discount taxed,2025-M03,2025-Q1,2025,-500.0
PropCo,,Tenant 11,expenses,general_expenses,other_general_expenses,4898,Overige algemene kosten | Other general costs,2025-M01,2025-Q1,2025,-0.01
PropCo,,,expenses,general_expenses,interest_mortgage,4611,Rente lening AT | Interest loan AT,2024-M10,2024-Q4,2024,-5888.0
PropCo,Building 160,,expenses,general_expenses,other_general_expenses,4898,Overige algemene kosten | Other general costs,2024-M12,2024-Q4,2024,-225.0
PropCo,,,expenses,general_expenses,bank_charges,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,,,expenses,general_expenses,financial_expenses,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,,,expenses,general_expenses,bank_charges,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,,,expenses,general_expenses,financial_expenses,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,Building 17,Tenant 8,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M01,2025-Q1,2025,503.38
PropCo,,,expenses,general_expenses,bank_charges,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,,,expenses,general_expenses,financial_expenses,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,Building 160,Tenant 15,revenue,sales_discounts,rent_discount_taxed,8001,Huurkorting belast Rent discount taxed,2025-M01,2025-Q1,2025,205.85
PropCo,Building 17,Tenant 8,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M01,2025-Q1,2025,-0.0
PropCo,,,expenses,general_expenses,other_consultancy_costs,4829,Overige advieskosten | Other consultancy costs,2024-M07,2024-Q3,2024,-256.25
PropCo,,,expenses,management_fees,directors_fee,4801,Director's Fee,2025-M01,2025-Q1,2025,1000.0
PropCo,Building 160,Tenant 15,revenue,rental_income,proceeds_parking_taxed,8004,Opbrengst Parkeren belast Proceeds Parking Tax,2025-M01,2025-Q1,2025,-519.65
PropCo,,,expenses,general_expenses,non_reclaimable_vat,4998,Niet verrekenbare BTW | Non reclaimable VAT,2024-M12,2024-Q4,2024,-389.27
PropCo,,,expenses,general_expenses,other_general_expenses,4898,Overige algemene kosten | Other general costs,2024-M04,2024-Q2,2024,-0.11
PropCo,,,expenses,general_expenses,bank_charges,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,,,expenses,general_expenses,financial_expenses,4650,Bankkosten | Bank charges,2025-M01,2025-Q1,2025,-24.0
PropCo,Building 140,Tenant 1,revenue,rental_income,proceeds_parking_taxed,8004,Opbrengst Parkeren belast Proceeds Parking Tax,2025-M02,2025-Q1,2025,13.3
PropCo,Building 120,,expenses,general_expenses,research_and_information,4828,Eigenaarslasten | Owner expenses,2025-M03,2025-Q1,2025,-2599.29
PropCo,,,expenses,general_expenses,other_consultancy_costs,4829,Overige advieskosten | Other consultancy costs,2025-M03,2025-Q1,2025,-900.0
PropCo,,,expenses,general_expenses,interest_mortgage,4611,Rente lening AT | Interest loan AT,2025-M02,2025-Q1,2025,-38017.75
PropCo,,Tenant 6,expenses,general_expenses,other_general_expenses,4898,Overige algemene kosten | Other general costs,2024-M12,2024-Q4,2024,-136.64
PropCo,,,expenses,general_expenses,interest_mortgage,4611,Rente lening AT | Interest loan AT,2025-M03,2025-Q1,2025,-17280.0
PropCo,,Tenant 10,expenses,general_expenses,non_reclaimable_sc,4999,Niet verrekenbare SK | Non reclaimable SC,2024-M12,2024-Q4,2024,-2767.43
PropCo,,,expenses,management_fees,directors_fee,4801,Director's Fee,2025-M01,2025-Q1,2025,-500.0
PropCo,,,expenses,taxes_and_insurances,insurance_in_general,4880,Verzekeringen algemeen | Insurance in general,2025-M01,2025-Q1,2025,-25713.77
PropCo,,,expenses,taxes_and_insurances,insurance_in_general,4880,Verzekeringen algemeen | Insurance in general,2025-M01,2025-Q1,2025,23570.96
PropCo,,,expenses,general_expenses,legal_advice,4822,Juridische adviezen | Legal advice,2024-M07,2024-Q3,2024,-508.8
PropCo,,Tenant 5,expenses,general_expenses,other_general_expenses,4898,Overige algemene kosten | Other general costs,2024-M12,2024-Q4,2024,-267.31
PropCo,,,expenses,management_fees,directors_fee,4801,Director's Fee,2025-M03,2025-Q1,2025,-500.0
PropCo,,,expenses,taxes_and_insurances,insurance_in_general,4880,Verzekeringen algemeen | Insurance in general,2025-M03,2025-Q1,2025,-2142.81
PropCo,,Tenant 4,expenses,general_expenses,non_reclaimable_sc,4999,Niet verrekenbare SK | Non reclaimable SC,2024-M12,2024-Q4,2024,-11697.38
PropCo,Building 140,Tenant 18,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M03,2025-Q1,2025,-0.0
PropCo,,Tenant 8,expenses,general_expenses,other_general_expenses,4898,Overige algemene kosten | Other general costs,2024-M12,2024-Q4,2024,-488.42
PropCo,Building 140,Tenant 1,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M02,2025-Q1,2025,141.09
PropCo,,,expenses,general_expenses,administration_costs,4800,Administratiekosten | Administration costs,2025-M01,2025-Q1,2025,-543.75
PropCo,Building 120,,expenses,general_expenses,research_and_information,4828,Eigenaarslasten | Owner expenses,2025-M01,2025-Q1,2025,-866.43
PropCo,,,expenses,general_expenses,interest_mortgage,4611,Rente lening AT | Interest loan AT,2025-M03,2025-Q1,2025,-114053.26
PropCo,,,expenses,general_expenses,interest_mortgage,4611,Rente lening AT | Interest loan AT,2025-M03,2025-Q1,2025,11520.0
PropCo,Building 140,Tenant 1,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M03,2025-Q1,2025,141.08
PropCo,,,expenses,management_fees,property_management_fees,4815,Property Management Fees,2025-M01,2025-Q1,2025,-8384.05
PropCo,Building 140,Tenant 1,revenue,rental_income,proceeds_parking_taxed,8004,Opbrengst Parkeren belast Proceeds Parking Tax,2025-M03,2025-Q1,2025,13.3
PropCo,Building 140,Tenant 18,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M03,2025-Q1,2025,19441.08
PropCo,,,expenses,management_fees,property_management_fees,4815,Property Management Fees,2025-M02,2025-Q1,2025,-8384.05
PropCo,,,expenses,taxes_and_insurances,insurance_in_general,4880,Verzekeringen algemeen | Insurance in general,2025-M02,2025-Q1,2025,-2142.81
PropCo,,,expenses,general_expenses,interest_mortgage,4611,Rente lening AT | Interest loan AT,2025-M01,2025-Q1,2025,-5760.0
PropCo,,,expenses,general_expenses,interest_mortgage,4611,Rente lening AT | Interest loan AT,2025-M01,2025-Q1,2025,-38017.75
PropCo,,Tenant 5,expenses,general_expenses,non_reclaimable_sc,4999,Niet verrekenbare SK | Non reclaimable SC,2024-M12,2024-Q4,2024,-2491.81
PropCo,Building 120,,expenses,general_expenses,research_and_information,4828,Eigenaarslasten | Owner expenses,2025-M03,2025-Q1,2025,1732.86
PropCo,,,expenses,management_fees,property_management_fees,4815,Property Management Fees,2025-M03,2025-Q1,2025,-8384.05
PropCo,,Tenant 4,expenses,general_expenses,other_general_expenses,4898,Overige algemene kosten | Other general costs,2024-M12,2024-Q4,2024,-1254.63
PropCo,,,expenses,general_expenses,other_consultancy_costs,4829,Overige advieskosten | Other consultancy costs,2025-M03,2025-Q1,2025,-900.0
PropCo,Building 140,Tenant 18,revenue,sales_discounts,rent_discount_taxed,8001,Huurkorting belast Rent discount taxed,2025-M03,2025-Q1,2025,1894.09
PropCo,,,expenses,general_expenses,interest_mortgage,4611,Rente lening AT | Interest loan AT,2025-M02,2025-Q1,2025,-5760.0
PropCo,,Tenant 10,expenses,general_expenses,other_general_expenses,4898,Overige algemene kosten | Other general costs,2024-M12,2024-Q4,2024,-515.61
PropCo,,,expenses,general_expenses,administration_costs,4800,Administratiekosten | Administration costs,2025-M02,2025-Q1,2025,-543.75
PropCo,Building 140,Tenant 18,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M03,2025-Q1,2025,-0.0
PropCo,,,expenses,management_fees,directors_fee,4801,Director's Fee,2025-M02,2025-Q1,2025,-500.0
PropCo,,Tenant 6,expenses,general_expenses,non_reclaimable_sc,4999,Niet verrekenbare SK | Non reclaimable SC,2024-M12,2024-Q4,2024,-778.11
PropCo,,,expenses,general_expenses,other_consultancy_costs,4829,Overige advieskosten | Other consultancy costs,2025-M03,2025-Q1,2025,-7500.0
PropCo,Building 140,Tenant 18,revenue,sales_discounts,rent_discount_taxed,8001,Huurkorting belast Rent discount taxed,2025-M03,2025-Q1,2025,-1894.09
PropCo,,Tenant 8,expenses,general_expenses,non_reclaimable_sc,4999,Niet verrekenbare SK | Non reclaimable SC,2024-M12,2024-Q4,2024,-2481.2
PropCo,Building 140,Tenant 18,revenue,rental_income,proceeds_parking_taxed,8004,Opbrengst Parkeren belast Proceeds Parking Tax,2025-M03,2025-Q1,2025,1227.63
PropCo,,,expenses,general_expenses,interest_mortgage,4611,Rente lening AT | Interest loan AT,2025-M03,2025-Q1,2025,76035.5
PropCo,,,expenses,general_expenses,administration_costs,4800,Administratiekosten | Administration costs,2025-M03,2025-Q1,2025,-543.75
PropCo,Building 120,,expenses,general_expenses,research_and_information,4828,Eigenaarslasten | Owner expenses,2025-M02,2025-Q1,2025,-866.43
PropCo,Building 160,Tenant 13,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M03,2025-Q1,2025,-50227.83
PropCo,Building 17,Tenant 4,revenue,rental_income,proceeds_parking_taxed,8004,Opbrengst Parkeren belast Proceeds Parking Tax,2025-M03,2025-Q1,2025,457.64
PropCo,Building 160,Tenant 13,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M03,2025-Q1,2025,50227.83
PropCo,Building 17,Tenant 10,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M02,2025-Q1,2025,-0.0
PropCo,Building 17,Tenant 12,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M03,2025-Q1,2025,-0.0
PropCo,Building 17,Tenant 8,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M03,2025-Q1,2025,-792.34
PropCo,Building 160,Tenant 11,revenue,rental_income,proceeds_parking_taxed,8004,Opbrengst Parkeren belast Proceeds Parking Tax,2025-M03,2025-Q1,2025,5186.87
PropCo,Building 140,Tenant 16,revenue,rental_income,proceeds_rent_untaxed,8002,Opbrengst Huren onbelast | Proceeds Rent untaxed,2025-M03,2025-Q1,2025,-21126.45
PropCo,Building 180,Tenant 14,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M03,2025-Q1,2025,-0.0
PropCo,Building 17,Tenant 8,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M03,2025-Q1,2025,792.34
PropCo,Building 17,Tenant 9,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M03,2025-Q1,2025,-0.0
PropCo,Building 120,Tenant 7,revenue,rental_income,proceeds_parking_taxed,8004,Opbrengst Parkeren belast Proceeds Parking Tax,2025-M03,2025-Q1,2025,-18016.0
PropCo,Building 17,Tenant 4,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M03,2025-Q1,2025,-0.0
PropCo,Building 17,Tenant 8,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M03,2025-Q1,2025,568.39
PropCo,Building 160,Tenant 13,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M03,2025-Q1,2025,-0.0
PropCo,Building 17,Tenant 17,revenue,rental_income,proceeds_parking_taxed,8004,Opbrengst Parkeren belast Proceeds Parking Tax,2025-M03,2025-Q1,2025,981.36
PropCo,Building 160,Tenant 13,revenue,rental_income,proceeds_parking_taxed,8004,Opbrengst Parkeren belast Proceeds Parking Tax,2025-M03,2025-Q1,2025,-6166.5
PropCo,Building 140,Tenant 3,revenue,rental_income,proceeds_parking_untaxed,8005,Opbrengst Parkeren onbelast Proceeds Parking untaxed,2025-M03,2025-Q1,2025,145.62
PropCo,Building 17,Tenant 6,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M02,2025-Q1,2025,-511.96
PropCo,Building 17,Tenant 8,revenue,rental_income,proceeds_parking_taxed,8004,Opbrengst Parkeren belast Proceeds Parking Tax,2025-M02,2025-Q1,2025,-148.48
PropCo,Building 17,Tenant 8,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M03,2025-Q1,2025,-0.0
PropCo,Building 17,Tenant 4,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M03,2025-Q1,2025,-0.0
PropCo,Building 17,Tenant 12,revenue,rental_income,revenue_rent_taxed,8000,Opbrengst Huren belast Revenue Rent taxed,2025-M03,2025-Q1,2025,-0.0
